"URL","Titel","Land","Beschreibung","Ort","Bezug","Staatlich_Öffentlich","Geoportal","GDI","lon","lat"
"https://www.offenesdatenportal.de/organization/kreis-viersen","Kreis Viersen Open Data","Deutschland","","Viersen","kommunal","ja","","",6.39649999938565,51.2555000052851
"https://www.offenesdatenportal.de/organization/stadt-wesel","Stadt Wesel am Rhein Open Data","Deutschland","","Wesel","kommunal","ja","","",6.6295999996476,51.664300005428
"https://www.offenedaten-wuppertal.de/","Offene Daten Wuppertal","Deutschland","","Wuppertal","kommunal","ja","","",7.15076360020761,51.2562128053175
"https://open-data.europa.eu/de/about","Offenes Datenportal der EU","Europa","","Europa","international","ja","","",7.77191950092864,48.5948367040006
"http://data.graz.gv.at/","Graz Open Data","Österreich","Graz Online - Stadtportal der Landeshauptstadt Graz","Graz","kommunal","ja","","",15.450000003914,47.0666666957154
"http://data.ktn.gv.at/","Kärnten Open Data","Österreich","","Kärnten","regional","ja","","",14.1827395266587,46.744599848604
"http://data.linz.gv.at/","Linz Open Data","Österreich","","Linz","kommunal","ja","","",14.2861111182839,48.3063888898899
"http://opendataportal.at/","Open Data Portal Austria","Österreich","Das zentrale Datenportal für Wirtschaft, Kultur, NGO/NPO, Forschung und Zivilgesellschaft. Das Open Data Portal bietet eine Plattform um auf Daten aus den",NA,"national","nein","","",16.3565176728908,48.2241622102715
"http://data.noe.gv.at/","Niederösterreich (lower Austria) Open Data","Österreich","","Niederösterreich","regional","ja","","",15.7499999996139,48.3332999943209
"http://basemap.at/","Austrian Ogd Basemap","Österreich","Basemap.at ist eine internetfähige Grundkarte von Österreich, basierend auf den Geodaten der Länder und deren Partnern, frei verfügbar und performant.","Österreich","national","ja","ja","",16.3755157488678,48.2186402051996
"https://www.geologie.ac.at/","Geologische Bundesanstalt","Österreich","The Geological Survey of Austria (GBA) is the largest geoscientific research center in Austria. The task of the Survey is to study and document the geology of the country systematically, continuously and overall.","Österreich","national","ja","ja","",16.3860232261393,48.2067095394285
"http://inspire.gv.at/","INSPIRE Austria","Österreich","Startseite INSPIRE Österreich.<br/>Willkommen auf der Website von INSPIRE Österreich.","Österreich","national","nein","ja","ja",16.3840313835282,48.1929296344742
"http://zamg.ac.at/","Zentralanstalt Für Meteorologie und Geodynamik","Österreich","Wetter Klima Umwelt Geophysik Forschung Produkte","Österreich","national","ja","ja","",16.3703094008748,48.1825629611783
"http://data.gv.at/","Austrian Government Open Data","Österreich","Startseite neu.","Österreich","national","ja","","",16.350099004682,48.1795663192931
"http://umweltbundesamt.at/opendata/","Umweltbundesamt: OpenData Portal","Österreich","","Österreich","national","ja","","",16.3311117707244,48.1850835032794
"http://data.reeep.org/","Linked Clean Energy Data - Data.reegle.info","Österreich","reegle - the clean energy info portal provides country energy profiles including key statistics, policies and actors, a clean energy web search, a directory of relevant key actors and a map search of energy statistics and potentials","Österreich","international","nein","","",16.239977090564,48.220828589894
